id,gps_height,longitude,latitude,basin,region_code,lga,population,public_meeting,permit,extraction_type_class,management,payment,water_quality,quantity,source,source_class,waterpoint_type,year,month,selfbuilt,NaN Counts
50785,1996.0,35.2907992,-4.05969643,0,20,63,321,True,True,3,3,0,5,3,5,1,6,2013,2,0,24
51630,1569.0,36.65670893,-3.30921425,5,1,0,300,True,True,0,7,0,5,2,8,0,1,2013,2,1,24
17168,1567.0,34.76786315,-5.00434437,0,12,109,500,True,True,3,7,0,5,2,5,1,6,2013,2,1,21
45559,267.0,38.05804609,-9.41867222,7,23,49,250,True,True,3,7,6,5,0,7,0,6,2013,1,0,23
49871,1260.0,35.00612345,-10.950412,7,9,61,60,True,True,0,9,3,5,1,8,0,1,2013,3,0,23
52449,1685.0,36.68527855,-3.30242017,5,1,0,200,True,True,0,7,0,5,1,8,0,1,2013,3,1,24
24806,550.0,36.39804116,-7.54138236,6,10,34,600,True,True,1,7,0,4,1,3,0,4,2011,3,1,24
28965,234.0,39.60741997,-10.89378645,7,8,116,1,True,True,5,7,0,5,0,3,0,2,2013,1,0,24
36301,584.0,39.26295070000001,-10.82358805,7,24,88,40,True,False,0,7,4,5,2,8,0,1,2013,1,1,24
54122,1083.0,37.09610836,-3.25175375,5,2,106,1,True,True,0,9,3,5,1,8,0,1,2013,3,1,24
419,1259.0,37.23324768,-3.24112116,5,2,16,75,True,True,0,9,4,5,1,8,0,1,2013,10,1,24
45750,608.0,37.68639178,-4.55597478,5,20,108,500,True,True,3,7,0,5,0,5,1,6,2013,2,0,24
653,1063.0,33.66107435,-4.16572015,0,13,19,0,True,True,2,7,6,5,0,3,0,2,2012,10,1,23
14017,1237.0,33.00768032,-3.2095291,4,18,45,0,True,True,2,7,4,5,1,3,0,2,2011,7,1,23
44607,1625.0,35.61562385,-7.87029042,6,10,24,1,True,True,0,7,3,5,1,8,0,1,2011,3,1,24
40228,916.0,35.48288627,-10.91259619,7,9,111,0,True,True,0,7,2,5,1,6,1,2,2013,6,1,24
27714,7.0,39.85018977,-7.72794628,6,5,53,900,True,False,1,7,0,5,1,7,0,4,2011,2,1,21
28785,1793.0,38.25402354,-4.5658016,5,3,52,1,True,True,0,7,3,5,1,8,0,1,2011,3,1,24
28330,1213.0,31.58679783,-3.38780779,3,16,9,0,True,True,0,3,6,5,3,5,1,1,2012,10,1,23
18532,368.0,39.43852591,-10.58336646,7,8,116,300,True,True,5,7,0,5,0,3,0,1,2013,2,0,24
69961,10.0,39.32230666,-6.85026202,8,6,119,120,True,False,5,2,0,5,1,3,0,1,2013,3,0,23
55083,1674.0,34.94362033,-9.35251465,6,10,91,30,True,False,0,7,0,5,2,8,0,1,2011,3,0,24
8691,1087.0,31.04608844,-5.05419563,3,15,31,1750,True,True,3,7,6,3,1,7,0,6,2013,2,1,24
30331,1441.0,34.62104755,-5.16592646,0,12,109,1,True,True,2,7,6,6,0,3,0,1,2013,2,1,20
70970,1314.0,33.72235857,-3.04712172,4,16,58,0,True,False,1,11,0,5,1,7,0,4,2012,10,1,23
61136,1726.0,34.92959242,-9.15287185,6,10,91,50,True,False,0,7,3,5,1,8,0,1,2011,2,1,24
28799,986.0,35.42444315,-10.57968552,7,9,111,0,True,True,0,7,0,5,0,6,1,1,2013,2,1,24
46825,837.0,35.89487669,-6.14752205,8,0,14,0,True,False,2,7,4,4,0,3,0,2,2011,4,1,23
44718,1899.0,31.67088744,-8.133075907018906,4,16,5,0,True,False,1,11,5,0,1,7,0,4,2013,2,1,21
37350,1309.0,36.29176128,-5.24231281,0,20,41,860,True,False,0,7,0,5,3,5,1,1,2013,2,0,24
65738,1564.0,35.6124173,-3.35116762,0,21,27,200,True,True,0,7,4,5,1,6,1,1,2013,12,1,24
3271,1079.0,32.86178245,-3.92819891,0,13,94,0,False,True,2,7,0,5,1,3,0,1,2012,10,1,23
42658,1081.0,33.12453405,-4.85766882,3,13,124,0,True,True,1,7,0,5,3,7,0,4,2012,11,0,23
67523,1537.0,35.66507527,-3.34770932,0,21,27,300,True,True,0,7,4,1,1,6,1,2,2013,3,1,24
37034,1489.0,34.72199105,-8.86253212,6,10,91,360,True,True,0,10,3,5,1,6,1,1,2011,3,1,24
42432,1798.0,34.70534261,-9.1394961,6,10,91,45,True,True,0,10,3,5,1,6,1,1,2011,7,1,24
27420,438.0,38.83713732,-4.77558442,5,3,68,200,True,True,0,7,0,1,2,8,0,1,2011,3,1,23
707,1642.0,37.65808091,-3.7238624,5,2,84,45,True,False,0,10,3,5,1,8,0,1,2013,2,1,24
48489,362.0,37.47632192,-6.28331307,8,4,83,1,True,True,0,7,0,5,2,6,1,1,2011,2,1,24
51008,2173.0,33.32603356,-8.88128573,2,11,60,0,True,False,0,11,5,5,0,6,1,1,2011,3,0,23
72562,128.0,40.04071287,-10.49203103,7,25,77,400,True,True,5,7,4,5,1,3,0,2,2013,2,0,24
10275,216.0,38.72134804,-5.17252308,5,3,80,120,True,False,1,7,0,5,2,7,0,4,2011,3,1,24
53540,1314.0,33.14491487,-3.71753771,4,16,104,0,True,True,3,7,0,5,1,3,0,2,2012,10,0,23
43291,1237.0,33.33199615,-2.70336413,4,18,45,0,True,True,1,7,0,6,0,7,0,4,2011,8,0,22
8813,1237.0,33.13082951,-3.22665421,4,18,45,0,True,True,5,7,4,5,1,2,1,2,2011,7,1,23
